ID,Longitude,Latitude,Timestamp,DAC,Original core file,Original synthetic file
5903656_077,149.112,-40.348,2013-02-28T22:44:48.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903656/profiles/D5903656_077.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903656/profiles/SD5903656_077.nc
5903631_090,151.455,-39.151,2013-02-24T08:38:19.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903631/profiles/D5903631_090.nc,
5901705_147,152.186,-43.501,2013-02-20T02:15:07.999Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901705/profiles/D5901705_147.nc,
5902252_110,149.209,-41.365,2013-02-20T00:22:03.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5902252/profiles/D5902252_110.nc,
5901644_190,151.29,-41.683,2013-02-19T06:32:48.999Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/D5901644_190.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/SD5901644_190.nc
5903301_118,154.938,-40.109,2013-02-16T17:38:58.560Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903301/profiles/D5903301_118.nc,
5903634_085,148.917,-43.554,2013-02-15T12:08:46.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903634/profiles/D5903634_085.nc,
5903631_089,151.661,-39.237,2013-02-14T08:36:48.999Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903631/profiles/D5903631_089.nc,
5901705_146,152.9,-44.283,2013-02-09T23:35:10.999Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901705/profiles/D5901705_146.nc,
5902252_109,149.544,-39.809,2013-02-09T20:24:03.998Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5902252/profiles/D5902252_109.nc,
5901644_189,150.215,-41.423,2013-02-09T05:06:20.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/D5901644_189.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/SD5901644_189.nc
5901092_231,154.648,-39.991,2013-02-09T04:12:26.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901092/profiles/D5901092_231.nc,
5903301_117,154.763,-39.721,2013-02-06T18:03:47.232Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903301/profiles/D5903301_117.nc,
5903634_084,150.337,-43.718,2013-02-05T12:02:04.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903634/profiles/D5903634_084.nc,
5903943_025,153.207,-39.385,2013-02-04T09:39:17.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903943/profiles/D5903943_025.nc,
5903631_088,152.429,-39.427,2013-02-04T08:33:54.999Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903631/profiles/D5903631_088.nc,
5901705_145,153.968,-44.994,2013-01-31T14:24:29.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901705/profiles/D5901705_145.nc,
5901644_188,150.123,-41.608,2013-01-30T18:43:51.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/D5901644_188.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/SD5901644_188.nc
5902252_108,150.12,-39.195,2013-01-30T16:17:25.002Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5902252/profiles/D5902252_108.nc,
5901092_230,154.589,-39.6,2013-01-30T00:08:24.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901092/profiles/D5901092_230.nc,
5903634_083,150.797,-44.081,2013-01-26T12:02:43.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903634/profiles/D5903634_083.nc,
5903631_087,153.426,-39.127,2013-01-25T07:58:06.999Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903631/profiles/D5903631_087.nc,
5901644_187,149.678,-41.679,2013-01-20T06:05:51.999Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/D5901644_187.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/SD5901644_187.nc
5901092_229,154.795,-39.153,2013-01-19T12:42:28.999Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901092/profiles/D5901092_229.nc,
5903634_082,150.592,-44.619,2013-01-16T11:35:29.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903634/profiles/D5903634_082.nc,
5901644_186,149.33,-42.258,2013-01-10T04:58:24.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/D5901644_186.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/SD5901644_186.nc
5903634_081,150.309,-44.798,2013-01-06T12:03:59.999Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903634/profiles/D5903634_081.nc,
5901644_185,149.313,-42.279,2012-12-31T06:45:54.999Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/D5901644_185.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/SD5901644_185.nc
5903634_080,150.364,-45.012,2012-12-27T10:07:19.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903634/profiles/D5903634_080.nc,
5901705_141,153.273,-44.746,2012-12-22T00:33:24.999Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901705/profiles/D5901705_141.nc,
5901644_184,149.306,-43.096,2012-12-21T06:37:57.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/D5901644_184.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/SD5901644_184.nc
5903634_079,150.175,-45.012,2012-12-17T11:54:17.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903634/profiles/D5903634_079.nc,
5901705_140,154.588,-44.604,2012-12-12T02:21:52.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901705/profiles/D5901705_140.nc,
5901644_183,149.967,-44.582,2012-12-11T06:47:28.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/D5901644_183.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5901644/profiles/SD5901644_183.nc
5903634_078,150.621,-44.969,2012-12-07T12:08:52.000Z,CS,ftp://ftp.ifremer.fr/ifremer/argo/dac/csiro/5903634/profiles/D5903634_078.nc,
